title_id	title	year	runtime	genre
tt10080994	Badri vs. Madhumathi	2019	136	Crime
tt10080996	Gujarat 11	2019	140	Drama,Sport
tt10080998	Naanu Nammudugi Kharchgond Mafia	2019	\N	Crime
tt10081028	Nguoi Tro Vê	2015	110	Drama
tt10081086	Táo Quây	2019	102	Adventure,Comedy,Fantasy
tt10081104	Gidarh Singhi	2019	120	Comedy
tt10081116	Kobbari Matta	2019	110	Comedy
tt10081120	Uchakattam	2019	\N	Thriller
tt10081134	Saaral	2019	\N	Drama
tt10081154	Maanasi	2019	127	Drama
tt10081162	Kabilavasthu	2019	\N	Drama
tt10081166	Vilambaram	2019	\N	Drama
tt10081172	15 Lakh Kado Aauga	2019	132	Comedy
tt10081202	Evvarikee Cheppoddu	2019	133	Drama
tt10081210	Aaviri	2019	110	Drama,Thriller
tt10081238	Malli Malli Chusa	2019	126	Drama
tt10081286	The Return of Richard III on the 9:24 am Train	2019	85	Comedy,Drama
tt10081380	Amalu	2018	98	Action,Drama,Romance
tt10081402	Tandav	2019	126	Drama
tt10081574	Unexpected Reunion	2019	75	Drama
tt10081596	Flat Earth: To the Edge and Back	2019	50	Comedy
tt10081728	Santamaria	2019	85	Mystery,Sci-Fi
tt10082762	The Lock Inn	2019	\N	Comedy
tt10083094	The Call of Destiny	2019	93	Comedy,Romance
tt10083986	Bhinna	2019	95	Thriller
tt10084190	Chandigarh Amritsar Chandigarh	2019	107	Comedy,Drama,Romance
tt10084200	The Legend of Snow Figure	2016	60	Comedy
tt10084358	Kahi Kshan Premache	2019	\N	Drama
tt10084394	Pattipulam	2019	103	Comedy
tt10084608	Neerthirai	2019	\N	Drama
tt10084614	My Angel My Teacher	2019	\N	Drama
tt10084684	Dwikhondito	2019	\N	Drama
tt10084688	Auerhaus	2019	104	Comedy,Drama,Romance
tt10084764	Cheddi gang	2019	\N	Thriller
tt10084780	Vinara sodara veera kumara	2019	144	Drama,Romance
tt10084972	White Flag	2019	\N	Biography
tt10085296	Light Years	2019	81	Adventure
tt10085298	Nerea	2019	77	Drama
tt10085338	Blood on Her Name	2019	85	Action,Crime,Drama
tt10085492	Left for Dead- The Infection (The Series)	2015	58	Action
tt10085524	I Wanted Our Summer	2019	\N	Drama
tt10085648	Vourate Geitonoi	2019	135	Comedy
tt10085818	The Secret of the River	2018	82	Drama,Romance
tt10085844	Tausiyah Cinta	2016	90	Romance
tt10086164	5 PM (Lima Penjuru Masjid)	2018	101	Drama
tt10086448	War of the Youth: Love Reload	2019	105	Family,Romance
tt10086502	Scent of My Daughter	2019	103	Drama
tt10086648	Shadowfall	2019	112	Drama
tt10086692	The Blade of Storm	2019	\N	Action,Adventure,History
tt10086764	MacGuffin	2018	52	Crime,Drama,Thriller
tt10086784	John Light	2019	97	Drama
tt10086834	The Exigency	2019	112	Action,Adventure,Animation
tt10086836	Highest Point	2019	74	Drama
tt10086906	KontrAdiksyon	2019	154	Action
tt10086930	Impossible to Imagine	2019	90	Drama,Romance
tt10087134	Jack & Daniel	2019	156	Action,Thriller
tt10087396	Hrudayat Something Something	2018	\N	Comedy
tt10087448	Keep Calm and Snap	2019	82	Comedy
tt10087464	Hollywood Salutes Israel	2018	\N	History
tt10087508	IAC My Story	2018	\N	History
tt10087852	Neele Gagan Ke Tale	2019	46	Drama
tt10087946	Six Characters in Search of a Play	2019	89	\N
tt10088006	Khalid: Free Spirit	2019	45	Drama
tt10089152	Bed of Thorns	2019	\N	Drama
tt10089222	Barred	2019	\N	\N
tt10089710	Gifts Ungiven	2019	\N	\N
tt10089828	Fate vobis	2018	\N	Comedy
tt10089930	A Journey of Forgiveness	2019	\N	\N
tt10090002	Gli sbancati	2014	124	Comedy
tt10090052	Gli sbancati 2	2015	125	Comedy
tt10090096	Stregati dalla Bruna	2016	\N	Comedy
tt10090374	Lost and Found	2019	\N	\N
tt10090588	Street Stall	2015	98	Romance
tt10090742	The Neighborhood Roadshow	2017	\N	Comedy
tt10090744	Raia 4	2019	92	Drama,Sport
tt10091268	Lock & Key	2019	97	Action
tt10091380	Mr. Hikita, I Am Knocked Up	2019	102	Comedy,Drama,Family
tt10091514	Huaquero: Profano de las Sombras	2019	\N	Mystery
tt10091530	Holiday Rush	2019	92	Comedy,Drama,Family
tt10091696	Dybbuk Box: The Story of Chris Chambers	2019	60	Horror
tt10091956	Muhimmah fi 7 Ayyam	2019	93	Comedy,Thriller
tt10091972	Demashq Halab	2019	115	\N
